sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,0.2,Setosa
4.7,3.2,1.3,0.2,Setosa
4.6,3.1,1.5,0.2,Setosa
5.4,3.9,1.7,0.4,Setosa
4.8,3.4,1.6,0.2,Setosa
4.3,3.0,1.1,0.1,Setosa
5.8,4.0,1.2,0.2,Setosa
7.0,3.2,4.7,1.4,Versicolor
6.4,3.2,4.5,1.5,Versicolor
6.9,3.1,4.9,1.5,Versicolor
5.5,2.3,4.0,1.3,Versicolor
6.5,2.8,4.6,1.5,Versicolor
4.9,2.4,3.3,1.0,Versicolor
5.2,2.7,3.9,1.4,Versicolor
5.0,2.0,3.5,1.0,Versicolor
5.9,3.0,4.2,1.5,Versicolor
5.6,2.9,3.6,1.3,Versicolor
6.7,3.1,4.4,1.4,Versicolor
6.0,2.7,5.1,1.6,Versicolor
6.3,3.3,6.0,2.5,Virginica
7.1,3.0,5.9,2.1,Virginica
7.6,3.0,6.6,2.1,Virginica
7.3,2.9,6.3,1.8,Virginica
7.2,3.6,6.1,2.5,Virginica
6.8,3.0,5.5,2.1,Virginica
7.7,3.8,6.7,2.2,Virginica
7.9,3.8,6.4,2.0,Virginica
